2022-08-11 01:08:864 INFO  DemoAccountPage :85 - Click on create account button : [[ChromeDriver: chrome on WINDOWS (28305ca76f340e9e8f675e17ad9ab4e8)] -> id: avaWidgetSubmit]
2022-08-11 01:08:98 INFO  TradePage :49 - Click on skip tutorial popup : Proxy element for: DefaultElementLocator 'By.xpath: //span[contains(text(),'Skip Tutorial')]'
2022-08-11 01:08:132 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-11 01:08:262 INFO  DemoAccountPage :57 - Enter first name: [[ChromeDriver: chrome on WINDOWS (edc5b6efa56ac87946e71ebe8791ee27)] -> id: name]
2022-08-11 01:08:460 INFO  DemoAccountPage :61 - Enter last name: [[ChromeDriver: chrome on WINDOWS (edc5b6efa56ac87946e71ebe8791ee27)] -> id: name]
2022-08-11 01:08:769 INFO  DemoAccountPage :65 - Enter email id: [[ChromeDriver: chrome on WINDOWS (edc5b6efa56ac87946e71ebe8791ee27)] -> id: email]
2022-08-11 01:08:988 INFO  DemoAccountPage :69 - Enter phone number: [[ChromeDriver: chrome on WINDOWS (edc5b6efa56ac87946e71ebe8791ee27)] -> id: email]
2022-08-11 01:08:275 INFO  DemoAccountPage :75 - Click on check button : [[ChromeDriver: chrome on WINDOWS (edc5b6efa56ac87946e71ebe8791ee27)] -> xpath: //body/div[1]/div[2]/div[1]/main[1]/article[1]/div[2]/div[1]/section[1]/section[1]/section[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[3]/div[1]/div[1]/div[1]/label[1]]
2022-08-11 01:08:545 INFO  DemoAccountPage :80 - Click on check button1 : [[ChromeDriver: chrome on WINDOWS (edc5b6efa56ac87946e71ebe8791ee27)] -> xpath: //body/div[1]/div[2]/div[1]/main[1]/article[1]/div[2]/div[1]/section[1]/section[1]/section[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[4]/div[1]/div[1]/div[1]/label[1]]
2022-08-11 01:08:681 INFO  DemoAccountPage :85 - Click on create account button : [[ChromeDriver: chrome on WINDOWS (edc5b6efa56ac87946e71ebe8791ee27)] -> id: avaWidgetSubmit]
2022-08-11 01:08:164 INFO  TradePage :49 - Click on skip tutorial popup : [[ChromeDriver: chrome on WINDOWS (edc5b6efa56ac87946e71ebe8791ee27)] -> xpath: //span[contains(text(),'Skip Tutorial')]]
2022-08-11 01:08:226 INFO  TradePage :55 - Click on close button: [[ChromeDriver: chrome on WINDOWS (edc5b6efa56ac87946e71ebe8791ee27)] -> xpath: //button[normalize-space()='Close']]
2022-08-11 01:08:18 INFO  TradePage :61 - Click on crypto currency: [[ChromeDriver: chrome on WINDOWS (edc5b6efa56ac87946e71ebe8791ee27)] -> xpath: //div[contains(text(),'Crypto')]]
2022-08-11 01:08:357 INFO  TradePage :67 - Click on BCHUSD star icon: [[ChromeDriver: chrome on WINDOWS (edc5b6efa56ac87946e71ebe8791ee27)] -> xpath: (//div[@class='watchlist-entity.component_favCell__1pYE6']//i//i)[1]]
2022-08-11 01:08:466 INFO  TradePage :69 - Click on BTCEUR star icon: [[ChromeDriver: chrome on WINDOWS (edc5b6efa56ac87946e71ebe8791ee27)] -> xpath: (//div[@class='watchlist-entity.component_favCell__1pYE6']//i//i)[2]]
2022-08-11 01:08:561 INFO  TradePage :71 - Click on bTCJPY star icon: [[ChromeDriver: chrome on WINDOWS (edc5b6efa56ac87946e71ebe8791ee27)] -> xpath: (//div[@class='watchlist-entity.component_favCell__1pYE6']//i//i)[3]]
2022-08-11 01:08:650 INFO  TradePage :75 - Click on favorites button [[ChromeDriver: chrome on WINDOWS (edc5b6efa56ac87946e71ebe8791ee27)] -> xpath: //div[contains(text(),'Favorites')]]
2022-08-11 01:08:156 INFO  TradePage :79 - Verify Five product added to the cart : [[[ChromeDriver: chrome on WINDOWS (edc5b6efa56ac87946e71ebe8791ee27)] -> xpath: //span[@data-qa='watchlist-entity__symbol-cell']], [[ChromeDriver: chrome on WINDOWS (edc5b6efa56ac87946e71ebe8791ee27)] -> xpath: //span[@data-qa='watchlist-entity__symbol-cell']], [[ChromeDriver: chrome on WINDOWS (edc5b6efa56ac87946e71ebe8791ee27)] -> xpath: //span[@data-qa='watchlist-entity__symbol-cell']], [[ChromeDriver: chrome on WINDOWS (edc5b6efa56ac87946e71ebe8791ee27)] -> xpath: //span[@data-qa='watchlist-entity__symbol-cell']], [[ChromeDriver: chrome on WINDOWS (edc5b6efa56ac87946e71ebe8791ee27)] -> xpath: //span[@data-qa='watchlist-entity__symbol-cell']]]
2022-08-11 09:08:630 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-11 09:08:85 INFO  DemoAccountPage :57 - Enter first name: [[ChromeDriver: chrome on WINDOWS (c368b7428acfdcaad2125929901d9b15)] -> id: name]
2022-08-11 09:08:378 INFO  DemoAccountPage :61 - Enter last name: [[ChromeDriver: chrome on WINDOWS (c368b7428acfdcaad2125929901d9b15)] -> id: name]
2022-08-11 09:08:891 INFO  DemoAccountPage :65 - Enter email id: [[ChromeDriver: chrome on WINDOWS (c368b7428acfdcaad2125929901d9b15)] -> id: email]
2022-08-11 09:08:148 INFO  DemoAccountPage :69 - Enter phone number: [[ChromeDriver: chrome on WINDOWS (c368b7428acfdcaad2125929901d9b15)] -> id: email]
